,sick,healthy,not_in_sick,not_in_healthy
198,68,314,49,218
199,0,0,117,532
200,0,0,117,532
201,62,285,55,247
202,83,394,34,138
203,83,394,34,138
204,83,394,34,138
205,68,320,49,212
206,81,379,36,153
207,0,1,117,531
208,1,4,116,528
209,63,295,54,237
210,63,295,54,237
211,63,295,54,237
212,0,1,117,531
213,63,295,54,237
214,1,5,116,527
215,88,414,29,118
216,0,0,117,532
217,0,0,117,532
218,64,286,53,246
219,53,237,64,295
220,63,280,54,252
221,0,1,117,531
222,64,286,53,246
223,1,4,116,528
224,70,323,47,209
225,82,382,35,150
226,67,305,50,227
227,0,0,117,532
228,0,0,117,532
229,66,296,51,236
230,0,0,117,532
231,0,0,117,532
232,0,0,117,532
233,88,414,29,118
234,70,323,47,209
235,82,382,35,150
236,68,320,49,212
237,81,379,36,153
238,63,295,54,237
239,67,305,50,227
240,0,0,117,532
241,0,0,117,532
242,0,0,117,532
243,0,0,117,532
244,0,0,117,532
245,0,0,117,532
246,0,0,117,532
247,0,0,117,532
248,0,0,117,532
249,0,0,117,532
250,0,0,117,532
251,0,0,117,532
252,64,296,53,236
253,64,296,53,236
254,52,245,65,287
255,64,288,53,244
256,64,296,53,236
257,69,334,48,198
258,88,400,29,132
259,67,314,50,218
260,65,309,52,223
261,0,0,117,532
262,0,0,117,532
263,0,2,117,530
264,88,414,29,118
265,69,334,48,198
266,87,400,30,132
267,95,452,22,80
268,68,320,49,212
269,81,379,36,153
270,63,295,54,237
271,67,314,50,218
272,0,0,117,532
273,0,0,117,532
274,53,237,64,295
275,70,323,47,209
276,82,382,35,150
277,69,334,48,198
278,87,400,30,132
279,68,314,49,218
280,68,320,49,212
281,81,379,36,153
282,67,305,50,227
283,67,314,50,218
284,0,0,117,532
285,0,0,117,532
286,63,295,54,237
287,0,0,117,532
288,0,0,117,532
289,0,0,117,532
290,0,0,117,532
291,0,0,117,532
292,0,0,117,532
293,0,0,117,532
294,0,0,117,532
295,0,0,117,532
296,0,0,117,532
297,0,0,117,532
298,0,0,117,532
299,0,0,117,532
300,0,1,117,531
301,0,0,117,532
302,86,393,31,139
303,95,442,22,90
304,0,0,117,532
305,0,0,117,532
306,0,0,117,532
307,92,436,25,96
308,90,413,27,119
309,90,418,27,114
310,92,417,25,115
311,91,426,26,106
312,100,468,17,64
313,89,410,28,122
314,88,416,29,116
315,84,388,33,144
316,86,397,31,135
317,90,413,27,119
318,90,411,27,121
319,90,413,27,119
320,95,438,22,94
321,94,420,23,112
322,90,411,27,121
323,95,438,22,94
324,0,0,117,532
325,68,320,49,212
326,81,379,36,153
327,88,411,29,121
328,63,295,54,237
329,70,345,47,187
330,88,414,29,118
331,81,393,36,139
332,84,405,33,127
333,67,305,50,227
334,70,322,47,210
335,53,237,64,295
336,55,274,62,258
337,70,323,47,209
338,65,310,52,222
339,70,315,47,217
340,82,382,35,150
341,63,280,54,252
342,65,324,52,208
343,82,382,35,150
344,75,367,42,165
345,80,376,37,156
346,71,349,46,183
347,84,402,33,130
348,87,412,30,120
349,81,391,36,141
350,67,314,50,218
351,69,334,48,198
352,52,245,65,287
353,55,278,62,254
354,64,317,53,215
355,69,327,48,205
356,87,400,30,132
357,64,288,53,244
358,70,335,47,197
359,77,377,40,155
360,85,391,32,141
361,65,309,52,223
362,83,408,34,124
363,76,367,41,165
364,84,414,33,118
365,91,435,26,97
366,81,408,36,124
367,68,314,49,218
368,53,265,64,267
369,63,302,54,230
370,68,308,49,224
371,66,312,51,220
372,77,375,40,157
373,85,416,32,116
374,0,0,117,532
375,64,334,53,198
376,68,342,49,190
377,81,391,36,141
378,0,0,117,532
379,66,305,51,227
380,68,320,49,212
381,51,237,66,295
382,68,320,49,212
383,81,379,36,153
384,62,279,55,253
385,81,379,36,153
386,63,295,54,237
387,63,295,54,237
388,52,231,65,301
389,67,305,50,227
390,0,0,117,532
391,81,391,36,141
392,0,0,117,532
393,67,314,50,218
394,52,237,65,295
395,0,0,117,532
396,0,0,117,532
397,0,0,117,532
398,0,0,117,532
399,0,0,117,532
400,0,0,117,532
401,0,0,117,532
402,0,0,117,532
403,0,0,117,532
404,0,0,117,532
405,0,0,117,532
406,0,0,117,532
407,0,0,117,532
408,0,0,117,532
409,0,0,117,532
410,0,0,117,532
411,0,0,117,532
412,0,0,117,532
413,0,0,117,532
414,0,0,117,532
415,0,0,117,532
416,0,0,117,532
417,0,0,117,532
418,0,0,117,532
419,0,0,117,532
420,0,0,117,532
421,0,0,117,532
422,0,0,117,532
423,0,0,117,532
424,0,0,117,532
425,0,0,117,532
426,0,0,117,532
427,0,0,117,532
428,0,0,117,532
429,0,0,117,532
430,0,0,117,532
431,0,0,117,532
432,0,0,117,532
433,0,0,117,532
434,0,0,117,532
435,0,0,117,532
436,0,0,117,532
437,0,0,117,532
438,0,0,117,532
439,0,0,117,532
440,0,0,117,532
441,0,0,117,532
442,0,0,117,532
443,0,0,117,532
444,0,0,117,532
445,0,0,117,532
446,0,0,117,532
447,0,0,117,532
448,76,370,41,162
449,0,0,117,532
450,91,421,26,111
451,90,426,27,106
452,90,411,27,121
453,84,400,33,132
454,91,435,26,97
455,93,438,24,94
456,93,438,24,94
457,95,467,22,65
458,97,452,20,80
459,95,438,22,94
460,0,0,117,532
461,92,438,25,94
462,92,422,25,110
463,91,435,26,97
464,0,0,117,532
465,86,390,31,142
466,85,393,32,139
467,87,405,30,127
468,91,415,26,117
469,89,417,28,115
470,91,421,26,111
471,90,420,27,112
472,89,423,28,109
473,90,426,27,106
474,92,438,25,94
475,82,377,35,155
476,86,391,31,141
477,83,367,34,165
478,86,392,31,140
479,86,377,31,155
480,92,418,25,114
481,92,422,25,110
482,90,411,27,121
483,95,438,22,94
484,0,0,117,532
485,89,412,28,120
486,89,418,28,114
487,92,438,25,94
488,83,366,34,166
489,88,400,29,132
490,92,422,25,110
491,91,426,26,106
492,91,435,26,97
493,0,0,117,532
494,89,412,28,120
495,89,418,28,114
496,92,438,25,94
497,88,408,29,124
498,91,435,26,97
499,85,371,32,161
500,0,0,117,532
501,83,366,34,166
502,90,411,27,121
503,0,0,117,532
504,89,412,28,120
505,83,366,34,166
506,88,400,29,132
507,88,408,29,124
508,0,0,117,532
509,89,418,28,114
510,88,400,29,132
511,92,422,25,110
512,88,408,29,124
513,91,435,26,97
514,0,0,117,532
515,0,0,117,532
516,86,391,31,141
517,91,416,26,116
518,0,0,117,532
519,0,0,117,532
520,87,405,30,127
521,87,412,30,120
522,90,430,27,102
523,81,363,36,169
524,84,374,33,158
525,86,395,31,137
526,90,411,27,121
527,90,416,27,116
528,86,398,31,134
529,89,413,28,119
530,89,423,28,109
531,89,402,28,130
532,62,328,55,204
533,0,0,117,532
534,0,0,117,532
535,0,0,117,532
536,0,0,117,532
537,0,0,117,532
538,0,0,117,532
539,0,0,117,532
540,0,0,117,532
541,0,0,117,532
542,0,0,117,532
543,81,362,36,170
544,81,362,36,170
545,84,373,33,159
546,86,397,31,135
547,89,412,28,120
548,89,418,28,114
549,79,352,38,180
550,83,366,34,166
551,82,363,35,169
552,88,400,29,132
553,79,355,38,177
554,88,408,29,124
